CCAA;Nombre CCAA;Cod_Provincia_INE;Cod_Provincia_Catastro;Nombre Provincia;Cod_Municipio_Ine_Corto;Cod_Municipio_Ine;Cod_Municipio_Catastro;Nombre Municipio_Ine;Nombre Municipio_Catastro;;;;;;;;
08;CASTILLA Y LEÓN;42;42;SORIA;3;0032;5;ADRADAS;ADRADAS;;;;;;;;
08;CASTILLA Y LEÓN;40;40;SEGOVIA;3;0030;3;ADRADOS;ADRADOS;;;;;;;;
17;COMUNIDAD VALENCIANA;03;3;ALICANTE/ALACANT;1;0015;1;ADSUBIA;ADSUBIA;;;;;;;;
15;PAIS VASCO;20;20;GIPUZKOA;2;0028;2;ADUNA;ADUNA;;;;;;;;
05;ISLAS CANARIAS;35;35;PALMAS (LAS);1;0017;1;AGAETE;AGAETE;;;;;;;;
08;CASTILLA Y LEÓN;37;37;SALAMANCA;2;0021;2;AGALLAS;AGALLAS;;;;;;;;
09;CATALUÑA;25;25;LLEIDA;2;0024;2;AGER;AGER;;;;;;;;
11;GALICIA;36;36;PONTEVEDRA;20;0209;20;AGOLADA;AGOLADA;;;;;;;;
02;ARAGÓN;50;50;ZARAGOZA;3;0037;3;AGON;AGON;;;;;;;;
16;LA RIOJA;26;26;RIOJA (LA);2;0027;2;AGONCILLO;AGONCILLO;;;;;;;;
17;COMUNIDAD VALENCIANA;03;3;ALICANTE/ALACANT;2;0020;2;AGOST;AGOST;;;;;;;;
09;CATALUÑA;25;25;LLEIDA;3;0030;3;AGRAMUNT;AGRAMUNT;;;;;;;;
08;CASTILLA Y LEÓN;42;42;SORIA;4;0047;6;AGREDA;AGREDA;;;;;;;;
17;COMUNIDAD VALENCIANA;03;3;ALICANTE/ALACANT;3;0036;3;AGRES;AGRES;;;;;;;;
01;ANDALUCIA;18;18;GRANADA;1;0016;2;AGRON;AGRON;;;;;;;;
01;ANDALUCIA;41;41;SEVILLA;1;0016;1;AGUADULCE;AGUADULCE;;;;;;;;
02;ARAGÓN;50;50;ZARAGOZA;4;0042;4;AGUARON;AGUARON;;;;;;;;
08;CASTILLA Y LEÓN;09;9;BURGOS;6;0063;6;AGUAS CANDIDAS;AGUAS CANDIDAS;;;;;;;;
08;CASTILLA Y LEÓN;47;47;VALLADOLID;2;0029;2;AGUASAL;AGUASAL;;;;;;;;
